ID,Title,Journal,Year,Cited,Last Updated,Type of survey,Field of application,Site name,Country,Duration (days),# snapshots,Frequency (snapshot/day),ERT layout,Buried,Surface (m),Electrode spacing (m) ,Config Elec,Nb Elec,Resistivimeter
Revil et al. (2012),Some low-frequency electrical methods for subsurface characterization and monitoring in hydrogeology,Hydrogeology Journal,2012,223,6/11/2021,,Hydrogeology,,France,,,,,,,,,1,
Robert et al. (2012),A salt tracer test monitored with surface ERT to detect preferential flow and transport paths in fractured/karstified limestones,Geophysics,2012,96,5/27/2021,,Contaminant monitoring,,Belgium,,,,,,,,,1,
Robinson et al. (2012),Evidence for spatial variability in hydraulic redistribution within an oak–pine forest from resistivity imaging,Journal of Hydrology,2012,52,6/9/2021,,Vegetation,,USA,,,,,,,,,,
Rosales et al. (2012),Environmental monitoring using electrical resistivity tomography (ERT) in the subsoil of three former petrol stations in SE of Spain,"Water, Air, and Soil Pollution",2012,27,6/11/2021,,Contaminant monitoring,,Espagne,,,,,,,,,,
Schmidt-Hattenberger et al. (2012),A modular geoelectrical monitoring system as part of the surveillance concept in CO2 storage projects,Energy Procedia,2012,27,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1100,200,6,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Sherrod et al. (2012),"A low‐cost, in situ resistivity and temperature monitoring system",Groundwater Monitoring,2012,13,6/21/2021,Semi-permanent study,Hydrogeology,,USA,1185,7170,0,2d boreholes,Yes,,5cm,2 bor x 16 elec + 2 bor x 32 elec,96,
Travelletti et al. (2012),Hydrological response of weathered clay-shale slopes: water infiltration monitoring with time-lapse electrical resistivity tomography,Hydrogeological Processes,2012,98,6/8/2021,Artificial conditions,Landslide,Laval,France,2.8,32,11,2D surface,No,47,1,48,48,Syscal
Wilkinson et al. (2012),Practical aspects of applied optimized survey design for electrical resistivity tomography,Geophysical Journal International,2012,99,6/8/2021,Numerical work,Landslide,,UK,1,,#DIV/0!,,,,,,1,ALERT
Yamakawa et al. (2012),Spatial and temporal monitoring of water content in weathered granitic bedrock using electrical resistivity imaging,Vadose Zone Journal,2012,11,6/11/2021,,Hydrogeology,Kiryu Experimental Watershed,Japon,,,,,,,,,,
Yoon et al. (2012),Use of two dimensional electrical resistivity tomography to identify soil water dynamics and the effective plant root zone,Korean Journal of Soil Science and Fertilizer,2012,1,6/9/2021,,Vegetation,,South-Korea,,,,,,,,,,
Baharuddin et al. (2013),Use of time-lapse resistivity tomography to determine freshwater lens morphology,Measurement: Journal of the International Measurement Confederation,2013,16,6/11/2021,,Hydrogeology,,Malaisie,,,,,,,,,,
Beff et al. (2013),Three-dimensional monitoring of soil water content in a maize field using Electrical Resistivity Tomography,Hydrology and Earth System Sciences,2013,119,6/9/2021,Regular measurements,Vegetation,crop field of Corroy-le-Gr,Belgium,35,9,0,3D surface,Yes,"2 x 0,75 x 1,4",0.15,132,132,Syscal
Besson et al. (2013), Identifying the characteristic scales of soil structural recovery after compaction from three in-field methods of monitoring,Geoderma,2013,25,6/9/2021,Regular measurements,Vegetation,,France,,,,,,,,,,
Boaga et al. (2013),Monitoring soil-plant interactions in an apple orchard using 3D electrical resistivity tomography,Procedia Environmental Sciences,2013,26,6/9/2021,Artificial conditions,Vegetation,Maso Majano,Italy,,,,,,,,,,
Briggs et al. (2013),Simultaneous estimation of local‐scale and flow path‐scale dual‐domain mass transfer parameters using geoelectrical monitoring,Water Resources Research,2013,17,6/11/2021,,Hydrogeology,,USA,,,,,,,,,,
Carrigan et al. (2013),Electrical resistance tomographic monitoring of CO2 movement in deep geologic reservoirs,International Journal of Greenhouse Gas Control,2013,105,6/10/2021,Semi-permanent study,Gas Dynamics,Cranfield,USA,100,100,1,2D borehole ,Yes,60,5,2 boreholes (1 x 14 + 1 x 7),21,MPT-DAS-1
Chambers et al. (2013),Geophysical-geotechnical sensor networks for landslide monitoring,landslide Science and Practice,2013,11,6/8/2021,Semi-permanent study,Landslide,Hollin Hill,UK,390,390,1,3D surface,Yes,150 x 40,5,5 lines x 32 elec,160,ALERT
Dafflon et al. (2013),Monitoring CO2 Intrusion and Associated Geochemical Transformations in a Shallow Groundwater System Using Complex Electrical Methods,Environmental Science & Technology,2013,62,6/10/2021,Semi-permanent study,Gas Dynamics,,USA,140,93,2,2D borehole,Yes,10 x 5,0.7,4 boreholes x 14 elec,56,MPT-DAS-1
Deceuster et al. (2013),Automated identification of changes in electrode contact properties for long-term permanent ERT monitoring experiments,Geophysics,2013,17,6/11/2021,Semi-permanent study,Hydrogeology,Membach geophysical station,Belgium,730,1460,1,2D surface,No,96,2,1 line x 48 elec,48,Syscal
Doetsch et al. (2013),Constraining CO2 simulations by coupled modeling and inversion of electrical resistance and gas composition data,International Journal of Greenhouse Gas Control,2013,37,6/10/2021,Semi-permanent study,Gas Dynamics,Cranfield,USA,330,330,1,2D borehole ,Yes,60,5,2 boreholes (1 x 14 + 1 x 7),21,MPT-DAS-1
Garré et al. (2013),"Noninvasive monitoring of soil water dynamics in mixed cropping systems: a case study in Ratchaburi Province, Thailand",Vadose Zone Journal,2013,41,6/9/2021,Semi-permanent study,Vegetation,,Thailande,75,75,1,2d buried,Yes,"1,75 m",,1 line x 36 elec + 1 line x 9 + 1 line x 50 (at different depths),54,Syscal
Ghorbani et al. (2013),Changes in the electrical resistivity of arid soils during oedometer testing,European Journal of Environmental and Civil Engineering,2013,5,6/8/2021,Laboratory setup,Geotechnics,,Iran,,,,,,,,,,
Gunn et al. (2013),"Rapid observations to guide the design of systems for long-term monitoring of a complex landslide in the Upper Lias clays of North Yorkshire, UK",Quarterly Journal of Engineering Geology and Hydrogeology,2013,28,6/8/2021,Semi-permanent synthetic/suggested,Landslide,,UK,1,,#DIV/0!,,,,,,1,ALERT
Hauck (2013),New concepts in geophysical surveying  data interpretation for permafrost terrain,Permafrost and Periglacial Processes,2013,70,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,365,365,1,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,Syscal  + A-ERT Geotom
Hermann et al. (2013),"Geoelectrical, strain and tilt investigations of hydrological processes at the broadb geodynamical observatory moxa, Germany",Journal of Applied Geophysics,2013,3,6/11/2021,,Hydrogeology,,Germany,,,,,,,,,,
Kim et al. (2013),Four-dimensional inversion of resistivity monitoring data through Lp norm minimizations,Geophysical Journal International,2013,53,6/11/2021,,Hydrogeology,,Italy,,,,,,,,,1,
Lehmann et al. (2013),Evolution of soil wetting patterns preceding a hydrologically induced landslide inferred from electrical resistivity survey and point measurements of volumetric water content and pore water pressure,Water Resources Research,2013,57,6/8/2021,Artificial conditions,Landslide,Controlled site,Switzerland,0.625,18,29,2D surface,No,47,1,48,48,Syscal
Lehmann et al. (2013),Evolution of soil wetting patterns preceding a hydrologically induced landslide inferred from electrical resistivity survey and point measurements of volumetric water content and pore water pressure,Water Resources Research,2013,57,6/8/2021,Artificial conditions,Landslide,Controlled site,Switzerland,3,77,26,2D surface,No,47,1,48,48,Syscal
Leroux et al. (2013),The CO2-Vadose project: Time-lapse geoelectrical monitoring during CO2 diffusion in the carbonate vadose zone,International Journal of Greenhouse Gas Control,2013,15,6/10/2021,Artificial conditions,Gas Dynamics,,France,100,,,,,,,,,
Lesparre et al. (2013),Monitoring the excavation damaged zone by three-dimensional reconstruction of electrical resistivity,Geophysical Journal International,2013,10,6/8/2021,Regular measurements,Geotechnics,,France,1,,#DIV/0!,,,,,,1,
Lin et al. (2013),Investigation of abnormal seepages in an earth dam using resistivity tomography,Journal of GeoEngineering,2013,36,6/8/2021,,Geotechnics,,Taiwan,,,,,,,,,,
Ling et al. (2013),Application of electrical resistivity tomography to evaluate the variation in moisture content of waste during 2 months of degradation,Environmental Earth Science,2013,17,6/11/2021,,Contaminant monitoring,,China,,,,,,,,,1,
Loke et al. (2013),Recent developments in the direct-current geoelectrical imaging method,Journal of Applied Geophysics,2013,620,6/11/2021,,Hydrogeology,,UK,,,,,,,,,1,
Mawer et al. (2013),Electrical resistivity for characterization and infiltration monitoring beneath a managed aquifer recharge pond,Vadose Zone Journal,2013,16,6/11/2021,Numerical work,Hydrogeology,,USA,,,,,,,,,,
Mojica et al. (2013),"Study of seasonal rainfall infiltration via time-lapse surface electrical resistivity tomography: Case study of Gamboa area, Panama Canal Watershed","Air, Soil and Water Research",2013,12,6/11/2021,,Hydrogeology,,Panama,,,,,,,,,,
Mol et al. (2013),Exposing drying patterns: Using electrical resistivity tomography to monitor capillary rise in sandstone under varying drying conditions,Environmental Earth Sciences,2013,16,6/11/2021,Laboratory setup,Hydrogeology,,UK,,,,,,,,,,
Muchingami et al. (2013),"On the use of electrical resistivity methods in monitoring infiltration of salt fluxes in dry coal ash dumps in Mpumalanga, South Africa",Water SA,2013,11,6/11/2021,,Contaminant monitoring,,South-Africa,,,,,,,,,,
Preignitz et al. (2013),A cylindrical electrical resistivity tomography array for three-dimensional monitoring of hydrate formation and dissociation,Review of Scientific Instruments,2013,49,6/10/2021,Laboratory setup,Gas Dynamics,,Germany,,,,,,,,,,
Revil et al. (2013),"Hydrogeophysical investigations of the former S-3 ponds contaminant plumes, Oak Ridge integrated field research challenge site, Tennessee",Geophysics,2013,27,6/11/2021,Semi-permanent study,Contaminant monitoring,,USA,90,29,3,2d surface,No,93,1 line x 112,,1,AGI SuperSting
Rosset et al. (2013) a,Automatic filtering of ERT monitoring data in mountain permafrost - Lapires,Near Surface Geophysics,2013,18,6/8/2021,Semi-permanent study,Permafrost,Lapires,Switzerland,1460,49,30,2D surface,No,188 + 276,4,1 line x 48 elec + 1 line x 70,118,
Rosset et al. (2013) b,Automatic filtering of ERT monitoring data in mountain permafrost - Stockhorn,Near Surface Geophysics,2013,18,6/8/2021,Semi-permanent study,Permafrost,Stockhorn,Switzerland,1460,36,41,2D surface,No,108,2,1 line x 55 elec,55,
Rosset et al. (2013) c,Automatic filtering of ERT monitoring data in mountain permafrost - Murtel,Near Surface Geophysics,2013,18,6/8/2021,Semi-permanent study,Permafrost,Murtel,Switzerland,1095,12,91,2D surface,No,235 + 47 + 72,5  1, 1 line x 48 + 1 line x 48  + 1 line x 72,168,
Schmidt-Hattenberger et al. (2013),Electrical resistivity tomography (ERT) for monitoring of CO2 migration-from tool development to reservoir surveillance at the Ketzin pilot site,Energy Procedia,2013,40,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1460,208,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Schneider et al. (2013),"A spatial and temporal analysis of different periglacial materials by using geoelectrical, seismic and borehole temperature data at Murtèl–Corvatsch, Upper Engadin, Swiss Alps",Geographica Helvetica,2013,30,6/8/2021,,Permafrost,,Switzerland,,,,,,,,,1,
Seferou et al. (2013),Olive-oil mill wastewater transport under unsaturated and saturated laboratory conditions using the geoelectrical resistivity tomography method and the FEFLOW model,Hydrogeology Journal,2013,21,5/27/2021,Laboratory setup,Contaminant monitoring,,Germany,,,,,,,,,,
Supper et al. (2013) a,Results of Geoelectrical Monitoring of landslides Collected by the SafeL/TEMPEL Network - Gschliefgraben,landslide Science and Practice,2013,1,6/8/2021,Semi-permanent study,Landslide,Gschliefgraben,Austria,270,270,1,2D surface,No,64,1,2D line x 64 elec,64,GEOMON 4D
Supper et al. (2013) b,Results of Geoelectrical Monitoring of landslides Collected by the SafeL/TEMPEL Network - Ampflwang,landslide Science and Practice,2013,1,6/8/2021,Semi-permanent study,Landslide,Ampflwang,Austria,180,180,1,2D surface,No,48,1,2D line x 48,48,GEOMON 4D
Supper et al. (2013) c,Results of Geoelectrical Monitoring of landslides Collected by the SafeL/TEMPEL Network - Ancona,landslide Science and Practice,2013,1,6/8/2021,Semi-permanent study,Landslide,Ancona,Austria,60,60,1,2D surface,No,360,4,2D line x 90 elec,90,GEOMON 4D
Supper et al. (2013) d,Results of Geoelectrical Monitoring of landslides Collected by the SafeL/TEMPEL Network - Molltal,landslide Science and Practice,2013,1,6/8/2021,Semi-permanent study,Landslide,Molltal,Austria,180,180,1,2D surface,No,84,1,2D line x 84 elec,84,GEOMON 4D
Toran et al. (2013),Freeze core sampling to validate time-lapse resistivity monitoring of the hyporheic zone,Groundwater,2013,8,6/8/2021,Artificial conditions,Permafrost,,USA,,,,,,,,,,
Versteeg et al. (2013),"Efficient electrical hydrogeophysical monitoring through cloud-based processing, analysis, and result access",The Leading Edge,2013,3,6/11/2021,Semi-permanent study,Hydrogeology,,USA,540,200,3,3D surface + borehole,Yes,20 x 20 x 16,1,7 boreholes x 15 + 3 surface lines,165,AGI SuperSting
Wagner et al. (2013),Monitoring freshwater salinization in analog transport models by time-lapse electrical resistivity tomography,Journal of Applied Geophysics,2013,33,5/28/2021,Laboratory setup,Saline intrusion,,Germany,,,,,,,,,,
Wallin et al. (2013),Imaging high stage river‐water intrusion into a contaminated aquifer along a major river corridor using 2‐D time‐lapse surface electrical resistivity tomography,Water Resources Research,2013,29,5/27/2021,Semi-permanent study,Contaminant monitoring,Hanford Site,USA,120,360,0,3D surface,No,240 x 50,3 to 4,2 lines x 60 elec + 1 line x 64,184,
Wu et al. (2013),Remote monitoring of freeze–thaw transitions in Arctic soils using the complex resistivity method,Vadose Zone Journal,2013,18,6/8/2021,Laboratory setup,Permafrost,,USA,,,,,,,,,,
Audebert et al. (2014),Influence of the geomembrane on time-lapse ERT measurements for leachate injection monitoring,Waste Management,2014,27,6/11/2021,Artificial conditions,Contaminant monitoring,Experimental landfill Caen,France,0.25,4,16,"2,5D surface",No,110,1.6,72,72,Syscal
Audebert et al. (2014),Time-lapse ERT interpretation methodology for leachate injection monitoring based on multiple inversions and a clustering strategy (MICS),Journal of Applied Geophysics,2014,41,6/11/2021,,Contaminant monitoring,,France,,,,,,,,,,
Auken et al. (2014),Imaging subsurface migration of dissolved CO2 in a shallow aquifer using 3-D time-lapse electrical resistivity tomography,Journal of Applied Geophysics,2014,48,6/10/2021,Semi-permanent study,Gas Dynamics,,Danemark,140,76,2,3D surface,No,126 m x 25 m,2,5 lines x 64 elec,320,Syscal
Beaujean et al. (2014),Calibration of seawater intrusion models: Inverse parameter estimation using surface electrical resistivity tomography and borehole data,Water Resources Research,2014,42,5/28/2021,,Saline intrusion,,Belgium,,,,,,,,,,
Bergmann et al. (2014),"Combination of seismic reflection and constrained resistivity inversion with an application to 4D imaging of the  storage site, Ketzin, Germany",Geophysics,2014,33,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1825,260,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Blondel et al. (2014),Temporal evolution of the geoelectrical response on a hydrocarbon contaminated site,Journal of Applied Geophysics,2014,16,5/27/2021,Regular measurements,Contaminant monitoring,,France,,,,,,,,,,
Boaga et al. (2014) ,Plant‐soil interactions in salt marsh environments: Experimental evidence from electrical resistivity tomography in the Venice Lagoon,Geophysical Research Letters,2014,23,6/9/2021,,Vegetation,,Italy,,,,,,,,,,
Brillante et al. (2014),Monitoring soil volume wetness in heterogeneous soils by electrical resistivity. A field-based pedotransfer function,Journal of Hydrology,2014,41,6/9/2021,Laboratory setup,Vegetation,,France,,,,,,,,,,
Chambers et al. (2014),4D electrical resistivity tomography monitoring of soil moisture dynamics in an operational railway embankment,Near Surface Geophysics,2014,117,6/8/2021,Semi-permanent study,Geotechnics,Great Central Railway Nottingham,UK,510,28,18,3D surface,No,22 x 31,1,12 x 32,384,AGI SuperSting  + ALERT
Chrétien et al. (2014),Electrical resistivity tomography to underst clay behavior during seasonal water content variations,Engineering Geology,2014,30,6/8/2021,Semi-permanent study,Geotechnics,west of Pessac,France,330,7,47,2D surface,Yes,60,0.5,1 line x 72  1 line x 48,120,Syscal
Clément et al. (2014),On the value of combining surface and cross-borehole ERT measurements to study artificial tile drainage processes,Near Surface Geophysics,2014,8,6/11/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Dahlin et al. (2014),Soil resistivity monitoring of an irrigation experiment,Near Surface Geophysics,2014,8,6/9/2021,Semi-permanent study,Vegetation,,Sweden,730,16,46,3D surface,No,40 x 80,"0,5 -> 1",6 lines x 81 elec,486,ABEM
Denchik et al. (2014),"Near-surface CO2 leak detection monitoring from downhole electrical resistivity at the CO2 Field Laboratory, Svelvik Ridge (Norway)",International Journal of Greenhouse Gas Control,2014,19,6/10/2021,Artificial conditions,Gas Dynamics,,Norvège,1,,#DIV/0!,,,,,,1,
Ganz et al. (2014),Hydraulic modeling and in situ electrical resistivity tomography to analyze ponded infiltration into a water repellent s,Vadose Zone Journal,2014,19,6/11/2021,,Contaminant monitoring,,Germany,,,,,,,,,,
Hagrey et al. (2014),Feasibility study for geophysical monitoring renewable gas energy compressed in pore storages,Geology & Geosciences,2014,6,6/10/2021,Semi-permanent synthetic/suggested,Gas Dynamics,,Germany,1,,#DIV/0!,,,,,,1,
Hermans et al. (2014),Geophysical methods for monitoring temperature changes in shallow low enthalpy geothermal systems,Energies,2014,68,5/26/2021,,Geothermy,,Belgium,,,,,,,,,1,
Jayawickreme et al. (2014),Geophysical subsurface imaging for ecological applications,New Phytologist,2014,54,6/9/2021,,Vegetation,,USA,,,,,,,,,1,
Karaoulis et al. (2014),4D time-lapse ERT inversion: introducing combined time and space constraints,Near Surface Geophysics,2014,45,6/11/2021,Artificial conditions,Contaminant monitoring,Test site Sindos,Grece,0.2,11,55,3D borehole ,Yes,5 x 100,3,5 x 34,170,Syscal
Kneisel et al. (2014) a,Frozen ground dynamics resolved by multi‐year  year‐round electrical resistivity monitoring at three alpine sites in the Swiss Alps - Val Muragl,Near Surface Geophysics,2014,12,6/8/2021,Semi-permanent study,Permafrost,Val Muragl,Switzerland,1825,5,365,2D surface,No,35,1.2,36 elec,36,Syscal
Kneisel et al. (2014) b,Frozen ground dynamics resolved by multi‐year  year‐round electrical resistivity monitoring at three alpine sites in the Swiss Alps - Brueltobel,Near Surface Geophysics,2014,12,6/8/2021,Semi-permanent study,Permafrost,Brueltobel,Switzerland,1090,36,30,2D surface,No,63,1.8,36 elec,36,Syscal
Kneisel et al. (2014) c,Frozen ground dynamics resolved by multi‐year  year‐round electrical resistivity monitoring at three alpine sites in the Swiss Alps - Murtel,Near Surface Geophysics,2014,12,6/8/2021,Semi-permanent study,Permafrost,Murtel,Switzerland,120,58,2,2D surface,No,70,2,36 elec,36,Syscal  + A-ERT Geotom
Lin et al. (2014),Performance of 2-D ERT in investigation of abnormal seepage: A case study at the Hsin-Shan earth dam in Taiwan,Journal of Environmental and Engineering Geophysics,2014,17,6/8/2021,Regular measurements,Geotechnics,,Taiwan,,,,,,,,,,
Martinez et al. (2014),Influence of measurement conditions on the resolution of electrical resistivity imaging: The example of abandoned mining dams in the La Carolina District (Southern Spain),International Journal of Mineral Processing,2014,18,5/28/2021,Regular measurements,Mining environment,,Spain,,,,,,,,,,
Martorana et al. (2014),Integrated geophysical survey for 3D modelling of a coastal aquifer polluted by seawater,Near Surface Geophysics,2014,22,5/28/2021,,Saline intrusion,,Italy,,,,,,,,,1,
Meyerhoff et al. (2014),Characterization of groundwater and surface water mixing in a semiconfined karst aquifer using time‐lapse electrical resistivity tomography,Water Resources Research,2014,40,6/11/2021,,Hydrogeology,,USA,,,,,,,,,,
Oliva et al. (2014),"A comparison of three methods for monitoring CO2 migration in soil and shallow subsurface in the Ressacada Pilot site, Southern Brazil",Energy Procedia,2014,8,6/10/2021,Artificial conditions,Gas Dynamics,,Brésil,1,,#DIV/0!,,,,,,1,
Perrone et al. (2014),Electrical resistivity tomography technique for landslide investigation: a review,Earth Science Reviews,2014,192,6/8/2021,Review article,Landslide,,Italy,1,,#DIV/0!,,,,,,1,---
Power et al. (2014),Evaluating four-dimensional time-lapse electrical resistivity tomography for monitoring DNAPL source zone remediation,Journal of Contaminant Hydrology,2014,42,6/11/2021,,Contaminant monitoring,,Grece,,,,,,,,,1,
Rucker (2014),Investigating motion blur and temporal aliasing from time-lapse electrical resistivity,Journal of Applied Geophysics,2014,15,6/11/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Rucker et al. (2014),Real‐time electrical monitoring of reagent delivery during a subsurface amendment experiment,Near Surface Geophysics,2014,16,5/28/2021,,Mining environment,,USA,,,,,,,,,,
Schmidt-Hattenberger et al. (2014),CO2 migration monitoring by means of electrical resistivity tomography (ERT)–Review on five years of operation of a permanent ERT system at the Ketzin pilot site,Energy Procedia,2014,17,6/10/2021,Semi-permanent study,Gas Dynamics,Ketzin CO2 pilot storage site,Germany,1825,260,7,3D borehole,Yes,150 m x 100 m,10,3 wells x 15 elec,45,VERA
Shokri et al. (2014),Integrated time-lapse geoelectrical–geochemical investigation at a reactive coal washing waste Pile in Northeastern Iran,Mine Water and the Environment,2014,10,5/28/2021,,Mining environment,,Iran,,,,,,,,,,
Stiegler et al. (2014),"An undercooled scree slope detected by geophysical investigations in sporadic permafrost below 1000 m ASL, central Austria",Permafrost and Periglacial Processes,2014,19,6/8/2021,,Permafrost,,Austria,,,,,,,,,1,
Sun et al. (2014),Geoelectric response of porous media in water and grout injection processes,Journal of Central South University,2014,4,6/11/2021,,Contaminant monitoring,,China,,,,,,,,,,
Supper et al. (2014),Geoelectrical monitoring: an innovative method to supplement landslide surveillance and early warning,Near Surface Geophysics,2014,65,6/8/2021,Semi-permanent study,Landslide,Ampflwang-Hausruck,Austria,275,1650,0,2D surface,No,60,1,61,61,GEOMON 4D
Supper et al. (2014),Geoelectrical monitoring of frozen ground and permafrost in alpine areas: field studies and considerations towards an improved measuring technology,Near Surface Geophysics,2014,45,6/8/2021,Semi-permanent study,Permafrost,Mölltaler Glacier,Austria,250,250,1,2D surface,No,80,1,81,81,GEOMON 4D + Syscal
Tondel et al. (2014),Reservoir monitoring of steam-assisted gravity drainage using borehole measurements,Geophysical Prospecting,2014,23,6/11/2021,Semi-permanent study,Hydrogeology,Leismer Demonstration Area,Canada,720,15,48,2D borehole,Yes,300 x 150,10,2 boreholes x 32 elec,64,
Ursino et al. (2014),Measuring and modeling water-related soil-vegetation feedbacks in a fallow plot,Hydrology and Earth System Science,2014,17,6/9/2021,Artificial conditions,Vegetation,,Italy,,,,,,,,,,
Wehrer et al. (2014),Electrical resistivity tomography as monitoring tool for unsaturated zone transport: an example of preferential transport of deicing chemicals,Environmental Science and Pollution Research,2014,11,6/11/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Weller et al. (2014),Geotechnical and geophysical long-term monitoring at a levee of Red River in Vietnam,Journal of Environmental and Engineering Geophysics,2014,16,6/8/2021,Semi-permanent study,Geotechnics,,Vietnam,730,28,26,2D surface,No,50,1,2D line x 50 elec,50,Lippmann model 4ptlight10W
Yang et al. (2014),Uncertainty quantification of CO2 saturation estimated from electrical resistance tomography data at the Cranfield site,International Journal of Greenhouse Gas Control,2014,36,6/10/2021,Semi-permanent study,Gas Dynamics,Cranfield,USA,365,90,4,2D borehole ,Yes,60,5,2 boreholes (1 x 14 + 1 x 7),21,MPT-DAS-1
Arato et al. (2015),Geophysical monitoring for shallow geothermal applications–two Italian case histories,First Break,2015,13,5/26/2021,,Geothermy,,Italy,,,,,,,,,1,
Benisch et al. (2015),A combined seismic and geoelectrical monitoring approach for CO2 storage using a synthetic field site,Environmental Earth Sciences,2015,10,6/10/2021,Semi-permanent synthetic/suggested,Gas Dynamics,,Germany,,,,,,,,,,
Bethune et al. (2015),Non-invasive flow path characterization in a mining-impacted wetlandand,Journal of Contaminant Hydrology,2015,6,6/11/2021,Semi-permanent study,Contaminant monitoring,,USA,105,7,15,2D surface,No,360,5,1 line x 72 elec,72,Syscal
Binley et al. (2015),The emergence of hydrogeophysics for improved understanding of subsurface processes over multiple scales,Water Resources Research,2015,364,6/11/2021,,Hydrogeology,,UK,,,,,,,,,1,
Booterbaugh et al. (2015),"Geophysical characterization of an undrained dyke containing an oil sands tailings pond, Alberta, Canada",Journal of Environmental and Engineering Geophysics,2015,9,5/28/2021,Regular measurements,Mining environment,,Canada,,,,,,,,,,
Brillante et al. (2015),The use of soil electrical resistivity to monitor plant and soil water relationships in vineyards,Soil,2015,57,6/9/2021,,Vegetation,,France,,,,,,,,,,
Camporese et al. (2015),Coupled and uncoupled hydrogeophysical inversions using ensemble K alman filter assimilation of ERT‐monitored tracer test data,Water Resources Research,2015,35,6/11/2021,,Hydrogeology,,Italy,,,,,,,,,,
Carrière et al. (2015),Feasibility  limits of electrical resistivity tomography to monitor water infiltration through karst medium during a rainy event,Hydrogeological and environmental investigations in Karst systems,2015,16,6/11/2021,,Hydrogeology,,France,,,,,,,,,1,
Cassiani et al. (2015),"Monitoring and modelling of soil–plant interactions: the joint use of ERT, sap flow and eddy covariance data to characterize the volume of an orange tree root zone",Hydrology and Earth System Sciences,2015,64,6/9/2021,Artificial conditions,Vegetation,Orange orchard Sicile,Italy,2,14,7,3D surface ,Yes,"1,3 x 1,3 x 1,2",0.1,48 + 24,72,?
Chambers et al. (2015),Spatial monitoring of groundwater drawdown and rebound associated with quarry dewatering using automated time-lapse electrical resistivity tomography and distribution guided clustering,Engineering Geology,2015,28,6/8/2021,Semi-permanent study,Mining environment,Rock Common Quarry,UK,365,365,1,2D surface,Yes,32,0.5,64,64,ALERT
Doetsch et al. (2015),Direct current (DC) resistivity and induced polarization (IP) monitoring of active layer dynamics at high temporal resolution,Cold Regions Science and Technology,2015,41,6/8/2021,Semi-permanent study,Permafrost,,Groenl,210,210,1,2D surface,Yes,64,"0,5  2","42 elec @ 0,5m  22 elec @ 2m",64,ABEM
Fan et al. (2015),Quantifying spatiotemporal dynamics of root-zone soil water in a mixed forest on subtropical coastal s dune using surface ERT and  patial TDR,Journal of Hydrology,2015,44,6/9/2021,Semi-permanent study,Vegetation,,Australia,365,12,30,2D surface,No,24,0.5,1 line x 48 elec,48,Syscal
Farzaminian et al. (2015),Estimation of unsaturated hydraulic parameters in sandstone using electrical resistivity tomography under a water injection test,Journal of Applied Geophysics,2015,24,6/8/2021,,Geotechnics,,Portugal,,,,,,,,,1,
Godio et al. (2015),Liquid injection to enhance biogas production in landfills for pretreated municipal solid wastes-Bio. Lea. R. project (Life+ Program).,Environmental Engineering & Management Journal,2015,9,6/11/2021,Semi-permanent study,Contaminant monitoring,,Italy,730,30,24,2d boreholes,Yes,,0.6,10 boreholes x 24 elec,240,Syscal
Gunn et al. (2015),Moisture monitoring in clay embankments using electrical resistivity tomography,Construction and Building Material,2015,103,6/8/2021,Semi-permanent study,Landslide,,UK,510,28,18,3D surface,No,22 x 31,1,12 x 32,384,AGI SuperSting  + ALERT
Haarder et al. (2015),Estimation of recharge from long-term monitoring of saline tracer transport using electrical resistivity tomography,Vadose Zone Journal,2015,11,6/11/2021,Semi-permanent study,Contaminant monitoring,Voulund,Danemark,210,16,13,3D surface + borehole,Yes,6 x 6,"0,25 to 0,5",5 boreholes x 20 + 12 surface electrodes,96,Syscal
Hallaji et al. (2015),Electrical resistance tomography to monitor unsaturated moisture flow in cementitious materials,Cement and Concrete Research,2015,70,6/8/2021,Laboratory setup,Geotechnics,,USA,,,,,,,,,,
Heenan et al. (2015),Electrical resistivity imaging for long-term autonomous monitoring of hydrocarbon degradation: Lessons from the Deepwater Horizon oil spill,Geophysics,2015,27,6/11/2021,Semi-permanent study,Contaminant monitoring,,USA,540,144,4,2d surface,No,24,0.5,1 line x 48 elec,48,Syscal
Hermans et al. (2015),Quantitative temperature monitoring of a heat tracing experiment using cross-borehole ERT,Geothermics,2015,73,5/26/2021,,Geothermy,,Belgium,,,,,,,,,1,
Hubner et al. (2015),Monitoring hillslope moisture dynamics with surface ERT for enhancing spatial significance of hydrometric point measurements,Hydrology and Earth System Sciences,2015,32,6/11/2021,,Hydrogeology,,Germany,,,,,,,,,1,
